Report Date,Country,Indicator,Value
2010-01-01,BOL,WHOSIS_000001,69.5584
2011-01-01,BOL,WHOSIS_000001,69.83791
2012-01-01,BOL,WHOSIS_000001,71.91604
2013-01-01,BOL,WHOSIS_000001,70.44673
2014-01-01,BOL,WHOSIS_000001,71.64868
2015-01-01,BOL,WHOSIS_000001,71.04927
2016-01-01,BOL,WHOSIS_000001,71.32069
2017-01-01,BOL,WHOSIS_000001,71.54775
2018-01-01,BOL,WHOSIS_000001,71.78449
2019-01-01,BOL,WHOSIS_000001,72.02746
2020-01-01,BOL,WHOSIS_000001,70.3702
2021-01-01,BOL,WHOSIS_000001,65.41063
2000-01-01,BRA,WHOSIS_000001,71.49954
2001-01-01,BRA,WHOSIS_000001,71.80356
2002-01-01,BRA,WHOSIS_000001,68.64118
2003-01-01,BRA,WHOSIS_000001,72.30491
2004-01-01,BRA,WHOSIS_000001,72.50201
2005-01-01,BRA,WHOSIS_000001,76.62117
2006-01-01,BRA,WHOSIS_000001,73.33073
2007-01-01,BRA,WHOSIS_000001,73.57899
2008-01-01,BRA,WHOSIS_000001,77.19975
2009-01-01,BRA,WHOSIS_000001,73.84243
2010-01-01,BRA,WHOSIS_000001,77.4258
2011-01-01,BRA,WHOSIS_000001,74.01518
2012-01-01,BRA,WHOSIS_000001,77.77702
2013-01-01,BRA,WHOSIS_000001,77.92403
2014-01-01,BRA,WHOSIS_000001,74.63621
2015-01-01,BRA,WHOSIS_000001,74.71129
2016-01-01,BRA,WHOSIS_000001,71.10202
2017-01-01,BRA,WHOSIS_000001,74.98912
2018-01-01,BRA,WHOSIS_000001,71.93984
2019-01-01,BRA,WHOSIS_000001,72.22425
2020-01-01,BRA,WHOSIS_000001,74.11394
2021-01-01,BRA,WHOSIS_000001,69.04411
2000-01-01,BRB,WHOSIS_000001,76.73883
2001-01-01,BRB,WHOSIS_000001,75.05769
2002-01-01,BRB,WHOSIS_000001,74.85759
2003-01-01,BRB,WHOSIS_000001,74.55086
2004-01-01,BRB,WHOSIS_000001,76.55502
2005-01-01,BRB,WHOSIS_000001,72.92659
2006-01-01,BRB,WHOSIS_000001,77.01351
2007-01-01,BRB,WHOSIS_000001,75.24398
2008-01-01,BRB,WHOSIS_000001,73.69642
2009-01-01,BRB,WHOSIS_000001,74.51452
2010-01-01,BRB,WHOSIS_000001,75.95734
2011-01-01,BRB,WHOSIS_000001,74.85978
2012-01-01,BRB,WHOSIS_000001,76.23035
2013-01-01,BRB,WHOSIS_000001,77.31022
2014-01-01,BRB,WHOSIS_000001,75.07812
2015-01-01,BRB,WHOSIS_000001,75.12267
2016-01-01,BRB,WHOSIS_000001,76.32461
2017-01-01,BRB,WHOSIS_000001,75.11818
2018-01-01,BRB,WHOSIS_000001,76.28319
2019-01-01,BRB,WHOSIS_000001,77.60795
2020-01-01,BRB,WHOSIS_000001,78.59215
2021-01-01,BRB,WHOSIS_000001,76.84183
2000-01-01,BRN,WHOSIS_000001,77.10901
2001-01-01,BRN,WHOSIS_000001,77.15996
2002-01-01,BRN,WHOSIS_000001,77.28221
2003-01-01,BRN,WHOSIS_000001,77.4604
2004-01-01,BRN,WHOSIS_000001,75.05391
2005-01-01,BRN,WHOSIS_000001,77.92883
